group,workload,regime,sla_label,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,mismatch_type,partition_selection_loss,reference_nonmonotone,evaluator_nonmonotone,evaluator_right_censored,no_safe_candidates,best_set_overlap,evaluator_recommended_intensity,exact_recommendation_reference_safe,reference_capacity_selected_partition,reference_best_capacity,partition_selection_regret,partition_selection_regret_intensity,recommended_load_utilization,operating_point_loss,safe_usable_quality,safe_operating_point_loss,within_selected_partition_operating_loss,evaluator_tie,reference_tie,no_safe_recommendation,reference_no_safe_candidates
h101-o60-d30-heterogeneous-fast,h101-o60-d30,decode,tight-TPOT,raw,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-1"":0.0097219789,""-2"":0.0099348625,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-1"":0.0097219789,""-2"":0.0099348625,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",agreement,0.0,False,False,False,[],[-2],0.0099348625,True,0.0099348625,0.0099348625,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False,False,False,[]
h101-o60-d30-heterogeneous-fast,h101-o60-d30,decode,tight-TPOT,legacy,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-1"":0.0095136569,""-2"":0.0097219789,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-1"":0.0097219789,""-2"":0.0099348625,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",agreement,0.0,False,False,False,[],[-2],0.0097219789,True,0.0099348625,0.0099348625,0.0,0.0,0.9785720637804499,0.02142793621955008,0.9785720637804499,0.02142793621955008,0.021427936219550078,False,False,False,[]
h101-o60-d30-heterogeneous-fast,h101-o60-d30,prefill,relaxed-TPOT (fixed TTFT),raw,2,[2],[0],4,2.7970713581,0.7879904225485477,False,False,0.22360679774997896,1.3542156285999987,"{""-1"":3.8382953147,""-2"":3.0907687477,""0"":3.8382953147,""1"":3.8382953147,""2"":4.096}","{""-1"":11.0940614405,""-2"":9.5332340431,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",strict best-set mismatch,0.21200957745145232,False,False,False,[],[],4.096,True,10.3960654413,13.1931367994,0.21200957745145232,2.7970713581,0.3104644530166836,0.6895355469833164,0.3104644530166836,0.6895355469833164,0.4775259695318641,False,False,False,[]
h101-o60-d30-heterogeneous-fast,h101-o60-d30,prefill,relaxed-TPOT (fixed TTFT),legacy,2,[2],[0],4,2.7970713581,0.7879904225485477,False,False,0.22360679774997896,1.3542156285999987,"{""-1"":3.756048561,""-2"":3.0907687477,""0"":3.756048561,""1"":3.756048561,""2"":4.096}","{""-1"":11.0940614405,""-2"":9.5332340431,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}",strict best-set mismatch,0.21200957745145232,False,False,False,[],[],4.096,True,10.3960654413,13.1931367994,0.21200957745145232,2.7970713581,0.3104644530166836,0.6895355469833164,0.3104644530166836,0.6895355469833164,0.4775259695318641,False,False,False,[]
h102-o300-d120-heterogeneous-slow,h102-o300-d120,decode,tight-TPOT,raw,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-1"":0.0081751772,""-2"":0.0083541903,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}","{""-1"":0.0081751772,""-2"":0.0083541903,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",agreement,0.0,False,False,False,[],[-2],0.0083541903,True,0.0083541903,0.0083541903,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False,False,False,[]
h102-o300-d120-heterogeneous-slow,h102-o300-d120,decode,tight-TPOT,legacy,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-1"":0.008,""-2"":0.0081751772,""0"":0.0078285765,""1"":0.0074966705,""2"":0.0073360323}","{""-1"":0.0081751772,""-2"":0.0083541903,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}",agreement,0.0,False,False,False,[],[-2],0.0081751772,True,0.0083541903,0.0083541903,0.0,0.0,0.978572058623084,0.02142794137691595,0.978572058623084,0.02142794137691595,0.02142794137691597,False,False,False,[]
h102-o300-d120-heterogeneous-slow,h102-o300-d120,prefill,relaxed-TPOT (fixed TTFT),raw,1,"[1,2]",[0],2,0.8085453401000002,0.9170040432055242,False,False,0.41039134083406165,0.8085453401000002,"{""-1"":2.332239124,""-2"":1.5122699735,""0"":2.4354961715,""1"":2.4888265932,""2"":2.4888265932}","{""-1"":8.5546908256,""-2"":7.6765906294,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",strict best-set mismatch,0.0829959567944758,False,False,False,[],[],2.4888265932,True,8.933439346,9.7419846861,0.0829959567944758,0.8085453401000002,0.2554742871594833,0.7445257128405167,0.2554742871594833,0.7445257128405167,0.6615297560460409,True,False,False,[]
h102-o300-d120-heterogeneous-slow,h102-o300-d120,prefill,relaxed-TPOT (fixed TTFT),legacy,2,[2],[0],4,1.3706032442999998,0.8593096490640562,False,False,0.35909242322980395,0.8085453401000002,"{""-1"":2.2333598365,""-2"":1.5122699735,""0"":2.4354961715,""1"":2.4354961715,""2"":2.4888265932}","{""-1"":8.5546908256,""-2"":7.6765906294,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",strict best-set mismatch,0.14069035093594384,False,False,False,[],[],2.4888265932,True,8.3713814418,9.7419846861,0.14069035093594384,1.3706032442999998,0.2554742871594833,0.7445257128405167,0.2554742871594833,0.7445257128405167,0.6038353619045728,False,False,False,[]
h103-o500-d30-heterogeneous-slow,h103-o500-d30,decode,tight-TPOT,raw,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-1"":0.0081751772,""-2"":0.0083541903,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}","{""-1"":0.008,""-2"":0.0083541903,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",agreement,0.0,False,False,False,[],[-2],0.0083541903,True,0.0083541903,0.0083541903,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False,False,False,[]
h103-o500-d30-heterogeneous-slow,h103-o500-d30,decode,tight-TPOT,legacy,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-1"":0.008,""-2"":0.0081751772,""0"":0.0076608262,""1"":0.0074966705,""2"":0.0073360323}","{""-1"":0.008,""-2"":0.0083541903,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",agreement,0.0,False,False,False,[],[-2],0.0081751772,True,0.0083541903,0.0083541903,0.0,0.0,0.978572058623084,0.02142794137691595,0.978572058623084,0.02142794137691595,0.02142794137691597,False,False,False,[]
h103-o500-d30-heterogeneous-slow,h103-o500-d30,prefill,relaxed-TPOT (fixed TTFT),raw,2,[2],[0],3,1.1872938605000005,0.8781260801821986,False,False,0.4472135954999579,0.20875064300000012,"{""-1"":2.7735153601,""-2"":2.7140846452,""0"":2.7735153601,""1"":2.7735153601,""2"":2.8342474382}","{""-1"":8.192,""-2"":7.1936088489,""0"":9.7419846861,""1"":9.5332340431,""2"":8.5546908256}",strict best-set mismatch,0.12187391981780138,False,False,False,[],[],2.8342474382,True,8.5546908256,9.7419846861,0.12187391981780138,1.1872938605000005,0.29093121468810595,0.709068785311894,0.29093121468810595,0.709068785311894,0.5871948654940926,False,False,False,[]
